"Date","Price","Open","High","Low","Vol.","Change %"
"29/12/2025","107.96","108.24","108.27","107.94","119.39K","-0.29%"
"26/12/2025","108.28","108.20","108.33","108.19","67.38K","0.08%"
"25/12/2025","108.19","108.21","108.25","108.17","56.41K","-0.02%"
"24/12/2025","108.21","108.19","108.25","108.14","69.14K","0.01%"
"23/12/2025","108.21","107.99","108.24","107.96","98.53K","0.25%"
"22/12/2025","107.94","108.11","108.14","107.89","85.09K","-0.13%"
"19/12/2025","108.08","108.02","108.15","108.01","56.04K","0.04%"
"18/12/2025","108.04","107.99","108.08","107.94","75.55K","0.03%"
"17/12/2025","108.00","107.94","108.05","107.90","72.31K","0.10%"
"16/12/2025","107.90","107.88","107.96","107.82","77.27K","0.04%"
"15/12/2025","107.86","107.99","108.07","107.81","101.90K","-0.13%"
"12/12/2025","108.00","108.18","108.21","107.93","97.52K","-0.12%"
"11/12/2025","108.13","108.07","108.17","108.04","74.63K","0.12%"
"10/12/2025","108.00","107.94","108.07","107.92","70.07K","0.03%"
"09/12/2025","107.97","107.99","108.03","107.92","75.88K","0.11%"
"08/12/2025","107.86","107.87","107.97","107.77","98.37K","-0.03%"
"05/12/2025","107.89","107.77","107.96","107.69","101.33K","0.18%"
"04/12/2025","107.69","107.89","107.92","107.61","148.09K","-0.32%"
"03/12/2025","108.04","108.03","108.06","107.96","78.43K","0.06%"
"02/12/2025","107.97","108.01","108.05","107.94","75.58K","-0.07%"
"01/12/2025","108.06","107.92","108.09","107.85","82.47K","0.13%"